Order ID,Customer Name,Email,Country,Currency,Product SKU,Product Description,Quantity,Unit Price,Total Price,Order Date,Shipping Fee,Delivery Status,Delivery Date,Payment Method,Notes,Unnamed: 0
ORD3050,Anna Müller,annamüller@yahoo.com,United Kingdom,USD,SKU-123,<b>Wireless Mouse</b>,1,€30,,2023-05-12,free,In-transit,2023-05-17,Credit Curd,<div>Hurry</div>,13
,Anna Müller,annamüller@yahoo.com,United States,JPY,345,Smartphone,2,twenty,,2023-05-12,7,Shipped,2023-05-14,credit card,Delayed! 😡,14
,😊 Alex,😊alex@yahoo.com,DE,£,#SKU234,Laptop&nbsp;Bag,-1,$10.00,,2023-05-12,7,Cancelled,2023-05-14,credit card,Delayed! 😡,15
ORD17293,😊 Alex,😊alex@gmail.con,Germany,JPY,#SKU234,<b>Wireless Mouse</b>,3,£12.5,,2023-05-12,5.00,In-transit,2023-05-11,credit card,Delayed! 😡,16
,王伟,王伟@hotmail.com,United Kingdom,USD,#SKU234,Smartphone,-1,£12.5,,2023-05-12,€4,Delivered,2023-05-11,Credit Curd,Delayed! 😡,17
ORD18029,😊 Alex,😊alex@yahoo.com,USA,$,345,Gaming Chair,-1,twenty,,2023-05-12,$5,Delivered,2023-05-11,credit card,<div>Hurry</div>,18
ORD11790,😊 Alex,😊alex@hotmail.com,United States,$,345,Laptop&nbsp;Bag,three,twenty,,2023-05-12,-3,In-transit,2023-05-17,credit card,<div>Hurry</div>,19
ORD18286,Marie Curie,mariecurie@gmail.con,Deutschland,JPY,345,USB-C Cable,0,€30,,2023-05-12,€4,Delivered,2023-05-11,Cash on deliv,<div>Hurry</div>,20
ORD13506,John Doe,johndoe@outlook.com,DE,€,345,Smartphone,three,£12.5,,2023-05-12,€4,Delivered,2023-05-17,credit card,,21
ORD12551,Carlos Diaz,carlosdiaz@yahoo.com,United States,JPY,#SKU234,Smartphone,3,"15,00",,2023-05-12,$5,delivrd,2023-05-22,Cash on deliv,,22
ORD8332,王伟,王伟@yahoo.com,Deutschland,USD,#SKU234,Gaming Chair,1,€30,,2023-05-12,5.00,Shipped,2023-05-17,PayPal,,23
ORD13611,Anna Müller,annamüller@yahoo.com,United States,$,sku-678,Gaming Chair,2,$10.00,,2023-05-12,7,In-transit,2023-05-17,credit card,Excellent 👍,24
ORD11664,😊 Alex,😊alex@outlook.com,DE,£,SKU-123,USB-C Cable,3,€30,,2023-05-12,7,Shipped,2023-05-17,Cash on deliv,,25
ORD5104,Anna Müller,annamüller@hotmail.com,United Kingdom,£,SKU_999,Gaming Chair,0,€30,,2026-12-01,$5,In-transit,2026-11-30,credit card,Delayed! 😡,26
ORD13418,John Doe,johndoe@hotmail.com,UK,JPY,#SKU234,Laptop&nbsp;Bag,three,£12.5,,2023-05-12,7,Delivered,2023-05-17,credit card,,27
ORD4893,王伟,王伟@hotmail.com,DE,USD,345,USB-C Cable,-1,"15,00",,2023-05-12,-3,In-transit,2023-05-17,paypal,,28
ORD6452,Anna Müller,annamüller@gmail.con,Germany,USD,SKU-123,Laptop&nbsp;Bag,-1,"15,00",,2026-12-01,-3,In-transit,2026-12-11,Cash on deliv,,29
,Marie Curie,mariecurie@gmail.con,UK,JPY,SKU_999,Laptop&nbsp;Bag,three,40,,2023-05-12,5.00,delivrd,2023-05-14,credit card,Excellent 👍,30
ORD1265,Anna Müller,annamüller@yahoo.com,USA,£,345,<b>Wireless Mouse</b>,three,40,,2023-05-12,free,Shipped,2023-05-14,credit card,Excellent 👍,31
ORD3420,😊 Alex,😊alex@gmail.con,Deutschland,JPY,SKU-123,Laptop&nbsp;Bag,0,"15,00",,2023-05-12,$5,In-transit,2023-05-17,Cash on deliv,Excellent 👍,32
ORD15181,Carlos Diaz,carlosdiaz@outlook.com,UK,JPY,sku-678,Gaming Chair,3,"15,00",,2026-12-01,5.00,In-transit,2026-12-03,paypal,Delayed! 😡,33
ORD11273,😊 Alex,😊alex@gmail.con,Germany,£,SKU_999,<b>Wireless Mouse</b>,-1,€30,,2026-12-01,€4,delivrd,2026-12-11,credit card,Delayed! 😡,34
ORD8417,Anna Müller,annamüller@gmail.con,Deutschland,£,sku-678,USB-C Cable,2,£12.5,,2023-05-12,7,Cancelled,2023-05-22,Credit Curd,<div>Hurry</div>,35
ORD11008,王伟,王伟@outlook.com,Germany,£,SKU-123,<b>Wireless Mouse</b>,3,25,,2023-05-12,-3,Delivered,2023-05-11,paypal,Delayed! 😡,36
ORD2683,John Doe,johndoe@hotmail.com,USA,$,#SKU234,<b>Wireless Mouse</b>,2 pcs,£12.5,,2026-12-01,5.00,Delivered,2026-12-11,PayPal,,37
ORD16064,Marie Curie,mariecurie@outlook.com,USA,USD,345,<b>Wireless Mouse</b>,1,$10.00,,2026-12-01,$5,In-transit,2026-12-03,Cash on deliv,<div>Hurry</div>,38
,王伟,王伟@outlook.com,USA,USD,SKU-123,<b>Wireless Mouse</b>,2 pcs,$10.00,,2023-05-12,€4,Cancelled,2023-05-17,Credit Curd,Excellent 👍,39
ORD4613,😊 Alex,😊alex@outlook.com,DE,$,SKU-123,Laptop&nbsp;Bag,0,twenty,,2023-05-12,€4,Delivered,2023-05-22,paypal,Excellent 👍,40
ORD10756,王伟,王伟@gmail.con,Germany,$,SKU-123,Gaming Chair,2,twenty,,2023-05-12,€4,In-transit,2023-05-14,Cash on deliv,<div>Hurry</div>,41
ORD7656,Carlos Diaz,carlosdiaz@yahoo.com,UK,$,SKU_999,Laptop&nbsp;Bag,1,€30,,2023-05-12,$5,Cancelled,2023-05-11,paypal,,42
ORD14918,Jane Smith,janesmith@hotmail.com,Germany,€,SKU_999,USB-C Cable,three,twenty,,2023-05-12,$5,Shipped,2023-05-14,paypal,Delayed! 😡,43
ORD5600,Jane Smith,janesmith@yahoo.com,United Kingdom,USD,sku-678,Smartphone,1,25,,2023-05-12,5.00,Delivered,2023-05-11,Cash on deliv,Delayed! 😡,44
ORD12541,Carlos Diaz,carlosdiaz@yahoo.com,Deutschland,USD,345,Smartphone,2,€30,,2023-05-12,7,Delivered,2023-05-14,Credit Curd,,45
ORD14606,John Doe,johndoe@yahoo.com,United States,$,345,<b>Wireless Mouse</b>,three,"15,00",,2026-12-01,7,Delivered,2026-12-11,PayPal,,46
ORD8994,John Doe,johndoe@hotmail.com,Deutschland,£,SKU-123,USB-C Cable,3,£12.5,,2023-05-12,$5,Cancelled,2023-05-11,credit card,Excellent 👍,47
ORD17164,Marie Curie,mariecurie@yahoo.com,United States,€,#SKU234,Gaming Chair,-1,£12.5,,2023-05-12,5.00,Shipped,2023-05-17,Credit Curd,Delayed! 😡,48
,王伟,王伟@outlook.com,United Kingdom,$,SKU_999,Laptop&nbsp;Bag,-1,twenty,,2023-05-12,7,Cancelled,2023-05-17,PayPal,,49
ORD2114,😊 Alex,😊alex@yahoo.com,Deutschland,£,SKU_999,Smartphone,2 pcs,$10.00,,2026-12-01,€4,delivrd,2026-12-03,Credit Curd,,50
ORD3459,王伟,王伟@outlook.com,Deutschland,$,#SKU234,Gaming Chair,2,£12.5,,2023-05-12,7,delivrd,2023-05-17,PayPal,Excellent 👍,51
ORD9195,Carlos Diaz,carlosdiaz@yahoo.com,Germany,JPY,345,Laptop&nbsp;Bag,0,£12.5,,2023-05-12,$5,In-transit,2023-05-17,Credit Curd,Delayed! 😡,52
ORD11380,😊 Alex,😊alex@hotmail.com,DE,£,345,Smartphone,0,40,,2023-05-12,7,delivrd,2023-05-14,credit card,<div>Hurry</div>,53
ORD10373,王伟,王伟@yahoo.com,Germany,USD,sku-678,USB-C Cable,3,€30,,2023-05-12,€4,In-transit,2023-05-17,Cash on deliv,,54
ORD9618,😊 Alex,😊alex@gmail.con,United Kingdom,USD,#SKU234,<b>Wireless Mouse</b>,2,$10.00,,2026-12-01,€4,Shipped,2026-11-30,paypal,<div>Hurry</div>,55
ORD12415,John Doe,johndoe@gmail.con,United States,$,SKU-123,Laptop&nbsp;Bag,2,$10.00,,2026-12-01,free,Delivered,2026-12-03,paypal,Excellent 👍,56
ORD9893,John Doe,johndoe@hotmail.com,United States,USD,sku-678,Gaming Chair,three,twenty,,2023-05-12,5.00,delivrd,2023-05-14,Credit Curd,Excellent 👍,57
ORD19192,Carlos Diaz,carlosdiaz@gmail.con,Germany,£,SKU-123,USB-C Cable,1,40,,2023-05-12,free,In-transit,2023-05-11,PayPal,,58
ORD13210,Marie Curie,mariecurie@outlook.com,DE,£,345,Smartphone,3,25,,2023-05-12,free,delivrd,2023-05-22,Credit Curd,,59
ORD3156,John Doe,johndoe@outlook.com,DE,USD,sku-678,Laptop&nbsp;Bag,-1,$10.00,,2023-05-12,€4,delivrd,2023-05-11,Credit Curd,Delayed! 😡,60
ORD8240,John Doe,johndoe@gmail.con,Deutschland,JPY,sku-678,Gaming Chair,-1,40,,2023-05-12,5.00,Shipped,2023-05-22,paypal,Excellent 👍,61
,Jane Smith,janesmith@yahoo.com,USA,€,sku-678,Gaming Chair,3,40,,2023-05-12,7,Shipped,2023-05-17,paypal,<div>Hurry</div>,62
ORD1888,王伟,王伟@yahoo.com,UK,USD,sku-678,Laptop&nbsp;Bag,1,twenty,,2023-05-12,5.00,delivrd,2023-05-14,credit card,Excellent 👍,63
ORD3549,Marie Curie,mariecurie@gmail.con,United States,£,#SKU234,Gaming Chair,2 pcs,€30,,2023-05-12,5.00,Shipped,2023-05-22,credit card,Excellent 👍,64
,Jane Smith,janesmith@outlook.com,USA,£,SKU_999,Laptop&nbsp;Bag,-1,£12.5,,2023-05-12,5.00,Delivered,2023-05-11,paypal,,65
ORD11910,Jane Smith,janesmith@gmail.con,Deutschland,USD,SKU_999,Smartphone,-1,£12.5,,2023-05-12,free,delivrd,2023-05-11,Cash on deliv,,66
ORD6138,Anna Müller,annamüller@gmail.con,Germany,JPY,#SKU234,Smartphone,0,"15,00",,2026-12-01,5.00,Shipped,2026-12-06,Cash on deliv,Delayed! 😡,67
,Jane Smith,janesmith@yahoo.com,United States,€,#SKU234,USB-C Cable,2 pcs,€30,,2026-12-01,-3,delivrd,2026-11-30,Cash on deliv,Excellent 👍,68
ORD12074,😊 Alex,😊alex@hotmail.com,DE,€,SKU-123,Gaming Chair,3,€30,,2023-05-12,€4,In-transit,2023-05-17,credit card,<div>Hurry</div>,69
ORD16334,Anna Müller,annamüller@outlook.com,Germany,JPY,345,Laptop&nbsp;Bag,0,€30,,2026-12-01,$5,Cancelled,2026-12-03,Cash on deliv,Excellent 👍,70
ORD17145,王伟,王伟@gmail.con,DE,$,SKU_999,<b>Wireless Mouse</b>,-1,"15,00",,2026-12-01,-3,delivrd,2026-12-06,Cash on deliv,<div>Hurry</div>,71
ORD5645,Anna Müller,annamüller@outlook.com,Deutschland,€,345,Smartphone,3,25,,2023-05-12,-3,In-transit,2023-05-14,Credit Curd,Delayed! 😡,72
ORD18322,Marie Curie,mariecurie@hotmail.com,Deutschland,USD,#SKU234,Smartphone,0,25,,2023-05-12,5.00,Cancelled,2023-05-22,paypal,,73
ORD4983,Marie Curie,mariecurie@yahoo.com,DE,JPY,345,Gaming Chair,3,$10.00,,2026-12-01,7,Shipped,2026-11-30,PayPal,,74
ORD5397,王伟,王伟@hotmail.com,USA,£,SKU_999,Gaming Chair,2 pcs,€30,,2023-05-12,5.00,Cancelled,2023-05-22,Cash on deliv,Excellent 👍,75
ORD18217,Jane Smith,janesmith@outlook.com,DE,JPY,SKU-123,USB-C Cable,2,twenty,,2023-05-12,$5,Shipped,2023-05-17,PayPal,,76
ORD15613,Carlos Diaz,carlosdiaz@outlook.com,UK,£,sku-678,<b>Wireless Mouse</b>,2,£12.5,,2023-05-12,-3,In-transit,2023-05-11,PayPal,Delayed! 😡,77
ORD18942,John Doe,johndoe@outlook.com,DE,€,345,Gaming Chair,1,40,,2023-05-12,7,Delivered,2023-05-17,PayPal,<div>Hurry</div>,78
ORD11705,😊 Alex,😊alex@yahoo.com,United Kingdom,€,SKU_999,Smartphone,3,$10.00,,2026-12-01,7,Shipped,2026-12-06,credit card,Delayed! 😡,79
ORD17300,😊 Alex,😊alex@gmail.con,UK,USD,SKU-123,Laptop&nbsp;Bag,3,$10.00,,2023-05-12,$5,In-transit,2023-05-14,credit card,Excellent 👍,80
ORD17556,Marie Curie,mariecurie@outlook.com,Deutschland,USD,SKU-123,Gaming Chair,-1,"15,00",,2023-05-12,€4,Shipped,2023-05-22,Cash on deliv,,81
ORD2695,Anna Müller,annamüller@hotmail.com,United States,USD,SKU_999,USB-C Cable,0,"15,00",,2026-12-01,free,In-transit,2026-11-30,Credit Curd,,82
ORD11744,Jane Smith,janesmith@hotmail.com,DE,£,SKU-123,<b>Wireless Mouse</b>,three,€30,,2026-12-01,7,Delivered,2026-11-30,Credit Curd,Delayed! 😡,83
ORD16256,😊 Alex,😊alex@gmail.con,USA,USD,#SKU234,<b>Wireless Mouse</b>,0,twenty,,2023-05-12,€4,Shipped,2023-05-11,Cash on deliv,<div>Hurry</div>,84
ORD17033,😊 Alex,😊alex@outlook.com,United Kingdom,£,#SKU234,Gaming Chair,0,twenty,,2026-12-01,€4,Cancelled,2026-12-06,credit card,<div>Hurry</div>,85
ORD10873,😊 Alex,😊alex@yahoo.com,Germany,JPY,sku-678,Smartphone,0,"15,00",,2023-05-12,5.00,In-transit,2023-05-17,Cash on deliv,,86
ORD13950,Carlos Diaz,carlosdiaz@gmail.con,USA,£,sku-678,Laptop&nbsp;Bag,-1,twenty,,2026-12-01,free,Cancelled,2026-12-03,Credit Curd,Excellent 👍,87
ORD17125,Anna Müller,annamüller@outlook.com,Germany,€,#SKU234,Smartphone,2,€30,,2023-05-12,-3,Shipped,2023-05-22,Credit Curd,,88
ORD18965,王伟,王伟@outlook.com,United Kingdom,$,SKU-123,Gaming Chair,three,25,,2023-05-12,$5,Cancelled,2023-05-14,paypal,Excellent 👍,89
,王伟,王伟@gmail.con,Deutschland,USD,sku-678,Gaming Chair,-1,$10.00,,2023-05-12,-3,In-transit,2023-05-11,Cash on deliv,,90
ORD5867,😊 Alex,😊alex@hotmail.com,USA,€,sku-678,USB-C Cable,1,twenty,,2026-12-01,-3,Shipped,2026-12-03,PayPal,Delayed! 😡,91
ORD19818,John Doe,johndoe@outlook.com,United States,£,#SKU234,Gaming Chair,0,40,,2026-12-01,€4,Cancelled,2026-12-11,paypal,Excellent 👍,92
ORD9032,😊 Alex,😊alex@hotmail.com,UK,USD,345,Laptop&nbsp;Bag,three,"15,00",,2026-12-01,€4,delivrd,2026-12-06,credit card,,93
ORD2803,😊 Alex,😊alex@gmail.con,Deutschland,JPY,SKU_999,Smartphone,2,$10.00,,2023-05-12,5.00,In-transit,2023-05-14,Credit Curd,<div>Hurry</div>,94
,Marie Curie,mariecurie@yahoo.com,UK,£,SKU-123,<b>Wireless Mouse</b>,three,twenty,,2023-05-12,5.00,Delivered,2023-05-17,Cash on deliv,<div>Hurry</div>,95
ORD18974,😊 Alex,😊alex@yahoo.com,DE,£,SKU-123,Smartphone,-1,£12.5,,2023-05-12,5.00,In-transit,2023-05-22,Cash on deliv,<div>Hurry</div>,96
ORD19283,Marie Curie,mariecurie@gmail.con,Germany,$,SKU-123,<b>Wireless Mouse</b>,2 pcs,$10.00,,2023-05-12,free,Cancelled,2023-05-11,credit card,,97
ORD16520,Jane Smith,janesmith@gmail.con,UK,JPY,#SKU234,USB-C Cable,three,twenty,,2023-05-12,$5,Delivered,2023-05-14,credit card,,98
ORD2019,Anna Müller,annamüller@outlook.com,United States,JPY,SKU-123,Gaming Chair,2 pcs,"15,00",,2023-05-12,$5,Cancelled,2023-05-17,Credit Curd,,99
ORD16266,😊 Alex,😊alex@outlook.com,United States,JPY,sku-678,Smartphone,0,$10.00,,2026-12-01,-3,delivrd,2026-12-11,credit card,Delayed! 😡,100
ORD12375,John Doe,johndoe@gmail.con,United Kingdom,€,#SKU234,Laptop&nbsp;Bag,-1,€30,,2023-05-12,$5,In-transit,2023-05-11,Cash on deliv,,101
ORD11809,王伟,王伟@outlook.com,DE,JPY,345,<b>Wireless Mouse</b>,1,twenty,,2026-12-01,-3,delivrd,2026-11-30,PayPal,Delayed! 😡,102
ORD9137,王伟,王伟@yahoo.com,United States,$,345,Laptop&nbsp;Bag,3,twenty,,2023-05-12,free,Cancelled,2023-05-11,Credit Curd,<div>Hurry</div>,103
ORD14762,Anna Müller,annamüller@hotmail.com,USA,€,sku-678,Gaming Chair,three,£12.5,,2023-05-12,free,Shipped,2023-05-14,paypal,Delayed! 😡,104
ORD11503,Jane Smith,janesmith@outlook.com,UK,USD,sku-678,USB-C Cable,2 pcs,twenty,,2023-05-12,5.00,delivrd,2023-05-17,PayPal,,105
ORD7504,王伟,王伟@outlook.com,United States,USD,345,Smartphone,0,$10.00,,2023-05-12,free,Delivered,2023-05-14,Cash on deliv,,106
ORD6272,Anna Müller,annamüller@yahoo.com,Germany,£,#SKU234,Smartphone,3,$10.00,,2026-12-01,€4,Delivered,2026-12-03,Credit Curd,,107
ORD2023,Marie Curie,mariecurie@hotmail.com,UK,USD,SKU_999,<b>Wireless Mouse</b>,1,25,,2023-05-12,€4,In-transit,2023-05-22,credit card,,108
ORD2166,Anna Müller,annamüller@yahoo.com,DE,£,#SKU234,USB-C Cable,3,twenty,,2023-05-12,€4,In-transit,2023-05-14,credit card,Excellent 👍,109
ORD18056,王伟,王伟@yahoo.com,United States,€,sku-678,USB-C Cable,1,€30,,2023-05-12,$5,Delivered,2023-05-14,Cash on deliv,<div>Hurry</div>,110
ORD3171,Carlos Diaz,carlosdiaz@hotmail.com,United Kingdom,JPY,#SKU234,<b>Wireless Mouse</b>,3,"15,00",,2026-12-01,free,Cancelled,2026-12-06,Credit Curd,,111
ORD10587,John Doe,johndoe@hotmail.com,UK,€,SKU_999,Laptop&nbsp;Bag,2,$10.00,,2023-05-12,7,Delivered,2023-05-22,credit card,,112
ORD19361,Jane Smith,janesmith@hotmail.com,Deutschland,JPY,#SKU234,Gaming Chair,2,"15,00",,2023-05-12,-3,delivrd,2023-05-17,paypal,Delayed! 😡,113
ORD2191,王伟,王伟@outlook.com,DE,£,#SKU234,<b>Wireless Mouse</b>,0,€30,,2023-05-12,7,Delivered,2023-05-17,paypal,<div>Hurry</div>,114
,Jane Smith,janesmith@outlook.com,United Kingdom,€,345,Smartphone,0,25,,2023-05-12,$5,Cancelled,2023-05-22,PayPal,<div>Hurry</div>,115
ORD18650,😊 Alex,😊alex@gmail.con,United Kingdom,USD,345,USB-C Cable,three,40,,2023-05-12,-3,Delivered,2023-05-11,paypal,Delayed! 😡,116
ORD3791,John Doe,johndoe@hotmail.com,Deutschland,$,SKU_999,Gaming Chair,2,$10.00,,2026-12-01,5.00,Delivered,2026-12-11,paypal,,117
ORD5443,Marie Curie,mariecurie@gmail.con,United States,$,SKU-123,Smartphone,1,40,,2023-05-12,-3,In-transit,2023-05-22,credit card,Delayed! 😡,118
ORD12964,John Doe,johndoe@hotmail.com,DE,$,#SKU234,Gaming Chair,3,£12.5,,2023-05-12,-3,Delivered,2023-05-14,credit card,,119
ORD2539,Marie Curie,mariecurie@yahoo.com,United Kingdom,€,345,Gaming Chair,three,25,,2026-12-01,5.00,Cancelled,2026-11-30,credit card,Delayed! 😡,120
ORD12501,Jane Smith,janesmith@gmail.con,UK,€,345,USB-C Cable,2,twenty,,2023-05-12,-3,In-transit,2023-05-14,Cash on deliv,<div>Hurry</div>,121
ORD12030,John Doe,johndoe@hotmail.com,DE,£,SKU_999,USB-C Cable,three,"15,00",,2023-05-12,€4,Delivered,2023-05-11,credit card,,122
ORD14722,Carlos Diaz,carlosdiaz@hotmail.com,United States,USD,SKU_999,Laptop&nbsp;Bag,1,twenty,,2023-05-12,5.00,Shipped,2023-05-14,paypal,Excellent 👍,123
ORD13956,😊 Alex,😊alex@gmail.con,USA,£,SKU-123,Laptop&nbsp;Bag,-1,40,,2026-12-01,free,delivrd,2026-11-30,PayPal,<div>Hurry</div>,124
ORD6288,Jane Smith,janesmith@outlook.com,Germany,JPY,#SKU234,Gaming Chair,three,twenty,,2023-05-12,5.00,Delivered,2023-05-11,Cash on deliv,<div>Hurry</div>,125
ORD11652,王伟,王伟@yahoo.com,Germany,USD,SKU-123,Laptop&nbsp;Bag,three,$10.00,,2026-12-01,$5,delivrd,2026-11-30,Credit Curd,,126
,Jane Smith,janesmith@outlook.com,DE,JPY,SKU_999,Laptop&nbsp;Bag,1,£12.5,,2023-05-12,5.00,delivrd,2023-05-14,PayPal,<div>Hurry</div>,127
ORD1120,Marie Curie,mariecurie@yahoo.com,Germany,€,345,Laptop&nbsp;Bag,2 pcs,$10.00,,2023-05-12,free,Delivered,2023-05-11,credit card,,128
ORD13484,王伟,王伟@hotmail.com,Germany,USD,sku-678,Gaming Chair,3,$10.00,,2023-05-12,-3,delivrd,2023-05-17,credit card,<div>Hurry</div>,129
ORD10110,Anna Müller,annamüller@gmail.con,Germany,USD,SKU-123,<b>Wireless Mouse</b>,2 pcs,"15,00",,2023-05-12,€4,In-transit,2023-05-11,paypal,,130
ORD1639,😊 Alex,😊alex@yahoo.com,Germany,£,SKU-123,Gaming Chair,three,$10.00,,2023-05-12,$5,Cancelled,2023-05-14,credit card,Delayed! 😡,131
ORD14586,Jane Smith,janesmith@hotmail.com,DE,JPY,345,Laptop&nbsp;Bag,3,€30,,2026-12-01,-3,In-transit,2026-12-03,PayPal,,132
ORD14994,Jane Smith,janesmith@hotmail.com,Deutschland,USD,SKU_999,Laptop&nbsp;Bag,3,25,,2026-12-01,free,In-transit,2026-12-03,Credit Curd,,133
ORD13757,王伟,王伟@yahoo.com,USA,$,#SKU234,Laptop&nbsp;Bag,3,25,,2023-05-12,€4,Shipped,2023-05-22,paypal,,134
,Anna Müller,annamüller@outlook.com,United Kingdom,€,SKU_999,USB-C Cable,2 pcs,25,,2023-05-12,5.00,Delivered,2023-05-14,PayPal,<div>Hurry</div>,135
,Carlos Diaz,carlosdiaz@gmail.con,United States,USD,SKU_999,Laptop&nbsp;Bag,three,"15,00",,2023-05-12,€4,Delivered,2023-05-17,Cash on deliv,Delayed! 😡,136
ORD4942,Carlos Diaz,carlosdiaz@gmail.con,United States,JPY,345,Smartphone,1,25,,2023-05-12,€4,Delivered,2023-05-17,PayPal,Excellent 👍,137
ORD4079,王伟,王伟@hotmail.com,Deutschland,£,SKU_999,<b>Wireless Mouse</b>,0,$10.00,,2023-05-12,$5,Cancelled,2023-05-11,Credit Curd,,138
ORD19085,Carlos Diaz,carlosdiaz@hotmail.com,Germany,USD,#SKU234,Smartphone,three,$10.00,,2026-12-01,$5,Cancelled,2026-12-11,paypal,<div>Hurry</div>,139
ORD6821,Carlos Diaz,carlosdiaz@yahoo.com,United States,€,SKU_999,<b>Wireless Mouse</b>,0,€30,,2023-05-12,7,Delivered,2023-05-22,Credit Curd,,140
ORD8669,Marie Curie,mariecurie@gmail.con,United Kingdom,USD,SKU_999,USB-C Cable,2 pcs,twenty,,2023-05-12,-3,Shipped,2023-05-22,credit card,,141
ORD5147,Anna Müller,annamüller@yahoo.com,United States,£,#SKU234,Smartphone,2 pcs,£12.5,,2023-05-12,-3,Shipped,2023-05-22,PayPal,Delayed! 😡,142
ORD5581,John Doe,johndoe@outlook.com,USA,JPY,#SKU234,Smartphone,0,€30,,2026-12-01,7,delivrd,2026-12-06,Credit Curd,,143
ORD10231,王伟,王伟@yahoo.com,United States,USD,SKU_999,Gaming Chair,-1,€30,,2023-05-12,-3,Delivered,2023-05-17,PayPal,Delayed! 😡,144
ORD13947,John Doe,johndoe@outlook.com,DE,USD,345,Gaming Chair,1,25,,2026-12-01,5.00,Shipped,2026-11-30,paypal,Delayed! 😡,145
ORD4313,😊 Alex,😊alex@gmail.con,USA,$,SKU_999,<b>Wireless Mouse</b>,1,"15,00",,2023-05-12,-3,In-transit,2023-05-17,credit card,<div>Hurry</div>,146
ORD2363,王伟,王伟@hotmail.com,United Kingdom,£,sku-678,Laptop&nbsp;Bag,three,€30,,2026-12-01,5.00,Shipped,2026-12-11,Cash on deliv,Delayed! 😡,147
ORD19831,Carlos Diaz,carlosdiaz@outlook.com,DE,£,SKU_999,Smartphone,1,€30,,2023-05-12,free,delivrd,2023-05-14,Credit Curd,Excellent 👍,148
ORD8427,😊 Alex,😊alex@outlook.com,Germany,USD,345,Gaming Chair,2 pcs,40,,2023-05-12,-3,delivrd,2023-05-14,paypal,,149
ORD18564,Marie Curie,mariecurie@outlook.com,United States,JPY,SKU-123,<b>Wireless Mouse</b>,three,€30,,2023-05-12,-3,Shipped,2023-05-17,credit card,Delayed! 😡,150
ORD17636,😊 Alex,😊alex@outlook.com,United Kingdom,€,sku-678,<b>Wireless Mouse</b>,-1,25,,2023-05-12,7,Shipped,2023-05-22,paypal,Excellent 👍,151
ORD1534,Jane Smith,janesmith@gmail.con,Deutschland,€,sku-678,Laptop&nbsp;Bag,1,"15,00",,2023-05-12,free,Cancelled,2023-05-14,paypal,Delayed! 😡,152
ORD2828,王伟,王伟@yahoo.com,United States,USD,SKU_999,USB-C Cable,3,twenty,,2023-05-12,7,Shipped,2023-05-17,paypal,,153
